Chimpanzee,Gorilla,Human,Marmoset,Rhesus,cross_species_cluster_label
2641,4163,2764,6771,838,Astro_1
590,804,696,530,773,Chandelier_1
284,149,162,508,67,Endo_1
27682,14066,19326,5710,12543,L2/3 IT_1
2160,3467,1798,3763,337,L2/3 IT_2
9345,22964,9918,16299,3651,L2/3 IT_3
9153,10553,13329,3156,10978,L4 IT_1
1181,2323,1891,1986,1816,L4 IT_2
115,125,107,449,65,L5 ET_1
77,188,265,244,24,L5 ET_2
1565,2041,3488,1270,1546,L5 IT_1
8897,9003,16145,4728,7046,L5 IT_2
162,1824,2112,760,1387,L5/6 NP_1
1216,66,1058,31,53,L5/6 NP_2
984,2458,2527,1935,2065,L6 CT_1
138,75,240,112,44,L6 CT_2
379,497,850,432,196,L6 IT Car3_1
1643,1747,3723,1950,414,L6 IT Car3_2
4007,4959,6052,3018,2530,L6 IT_1
41,278,260,29,245,L6b_1
701,776,2621,1116,1727,L6b_2
82,102,143,138,303,L6b_3
2535,3230,2558,691,1644,Lamp5_1
1013,1155,818,209,1830,Lamp5_2
1511,1668,2203,422,1319,Lamp5_Lhx6_1
232,840,1187,2473,942,Micro-PVM_1
32,377,54,28,27,OPC_1
1474,1739,2107,2840,2060,OPC_2
6548,8716,7578,3870,9445,Oligo_1
445,779,513,201,584,Pax6_1
63,126,65,82,121,Pax6_2
84,213,293,73,221,Pvalb_1
228,354,1074,110,220,Pvalb_2
412,840,1106,57,111,Pvalb_3
4973,6782,8367,2200,4139,Pvalb_4
103,198,106,118,36,Sncg_1
717,949,648,322,1072,Sncg_2
324,539,351,183,84,Sncg_3
57,114,78,43,44,Sst Chodl_1
93,30,264,62,23,Sst_1
274,428,918,166,302,Sst_2
1259,1068,2046,426,564,Sst_3
445,1300,2133,570,1764,Sst_4
3049,4618,2708,799,2257,Sst_5
104,406,650,233,376,Sst_6
1703,2933,2014,708,2350,Sst_7
491,579,1309,288,604,Sst_8
266,139,845,179,285,Sst_9
51,352,272,624,113,VLMC_1
1784,2327,2359,452,2165,Vip_1
2195,3737,1876,1041,2173,Vip_2
1039,1396,1679,420,1056,Vip_3
230,300,217,50,171,Vip_4
660,1293,1291,308,177,Vip_5
150,308,217,56,284,Vip_6
633,1169,787,260,738,Vip_7
876,1938,1616,362,1187,Vip_8
