Chimpanzee,Gorilla,Human,Marmoset,Rhesus,subclass_label
2641,4163,2764,6771,838,Astro
590,804,696,530,773,Chandelier
284,149,162,508,67,Endo
37027,37030,29244,21231,16194,L2/3 IT
12494,16343,17018,9683,13131,L4 IT
192,313,372,693,89,L5 ET
10462,11044,19633,5998,8592,L5 IT
1378,1890,3170,791,1440,L5/6 NP
1122,2533,2767,2047,2109,L6 CT
4007,4959,6052,3018,2530,L6 IT
2022,2244,4573,2382,610,L6 IT Car3
824,1156,3024,1283,2275,L6b
3234,4385,3376,900,3474,Lamp5
1511,1668,2203,422,1319,Lamp5_Lhx6
232,840,1187,2473,942,Micro-PVM
1506,2116,2161,2868,2087,OPC
6548,8716,7578,3870,9445,Oligo
670,1124,710,246,789,Pax6
5762,8363,11018,2440,4691,Pvalb
1471,2535,1701,948,1544,Sncg
7619,11179,12629,3393,8393,Sst
57,262,158,81,176,Sst Chodl
51,352,272,624,113,VLMC
7392,11400,9314,2661,7515,Vip
